NTS_TILE, NAME, XMIN_LONG, YMAX_LAT
012K15, "Lac Goyelle", -61, 51
012K16, "Lac De Re", -60.5, 51
012L01, Aguanish, -62.5, 50.25
012L03, "Baie Des Trilobites", -63.5, 50.25
012L04, Havre-St-Pierre, -64, 50.25
012L05, "Lac Du Gros Diable", -64, 50.5
012L06, "Lac A L'ours", -63.5, 50.5
012L07, Baie-Johan-Beetz, -63, 50.5
012L08, "Baie Pashashibou", -62.5, 50.5
012L09, "Lac Michaud", -62.5, 50.75
012L10, "Lac De La Robe Noire", -63, 50.75
012L11, "Lac Allard", -63.5, 50.75
012L12, "Lac Cugnet", -64, 50.75
012L13, "Lac Jerome", -64, 51
012L14, "Lac Sanson", -63.5, 51
012L15, "Lac Davy", -63, 51
012L16, "Lac Gaudreault", -62.5, 51
012M01, "Lac Arthur", -62.5, 51.25
012M02, "Lac Ruffin", -63, 51.25
012M03, "Petite Rivier De Lab", -63.5, 51.25
012M04, "Lac Charpeney", -64, 51.25
012M05, "Lac Coupeaux", -64, 51.5
012M06, "Lac Desaulniers", -63.5, 51.5
012M07, "Lac Saumur", -63, 51.5
012M08, "Lac Barrin", -62.5, 51.5
012M09, "Lac Du Caribou", -62.5, 51.75
012M10, "Lac Ripault", -63, 51.75
012M11, "Lac Garneau", -63.5, 51.75
012M12, "Riviere Touladis", -64, 51.75
012M13, "Lac Norman", -64, 52
012M14, "Lac Goullay", -63.5, 52
012M15, "Lac De Morhiban", -63, 52
012M16, "Lac Begon", -62.5, 52
012N01, "Lac Du Gas", -60.5, 51.25
012N02, "Lac Montcevelles", -61, 51.25
012N03, "Lac Bohier", -61.5, 51.25
012N04, "Lac Cormier", -62, 51.25
012N05, "Lac Briend", -62, 51.5
012N06, "Lac Le Dore", -61.5, 51.5
012N07, "Lac Lorens", -61, 51.5
012N08, "Lac Briconnet", -60.5, 51.5
012N09, "Riviere Mongeaux", -60.5, 51.75
012N09, "Riviere Mongeaux", -60.01, 51.75
012N10, "Lac Le Tort", -61, 51.75
012N11, "Lac Du Nort", -61.5, 51.75
012N12, "Lac Kerdelhue", -62, 51.75
012N13, "Lac Le Marquand", -62, 52
012N14, "Lac Bastille", -61.5, 52
012N15, "Lac Golet", -61, 52
012N16, "Lac Le Breton", -60.5, 52
012N16, "Lac Le Breton", -60.01, 52
012O01, "Ile Bayfield", -58.5, 51.25
012O02, St-Augustin-Saguenay, -59, 51.25
012O03, "Lac Robertson", -59.5, 51.25
012O04, "Lac Bernadette", -60, 51.25
012O05, "Lac Verton", -60, 51.5
012O06, "Lac Ferru", -59.5, 51.5
012O07, "Lac Noyrot", -59, 51.5
012O08, Shekatika, -58.5, 51.5
012O09, "Lac Tooker", -58.5, 51.75
012O10, "Lac L'ile Au Castor", -59, 51.75
012O11, "Riviere A Saumon", -59.5, 51.75
012O12, "Lac De Vitre", -60, 51.75
012O13, "Lac Chenil", -60, 52
012O14, "Lac Aticonipi", -59.5, 52
012O15, "Lac Mery", -59, 52
012O16, "Lac Gallet", -58.5, 52
012P01, "Salmon River", -56.5, 51.25
012P02, "Brig Bay", -57, 51.25
012P03, "Part Of 012P02", -57.5, 51.25
012P05, Vieux-Fort, -58, 51.5
012P06, "Blanc Sablon", -57.5, 51.5
012P07, "Flower's Cove", -57, 51.5
012P08, "Eddies Cove", -56.5, 51.5
012P09, "Big Brook", -56.5, 51.75
012P10, Pinware, -57, 51.75
012P11, "Collines De Brador", -57.5, 51.75
012P12, "Lac Delage", -58, 51.75
012P13, "Ruisseau Chanion", -58, 52
012P14, "Lac Senac", -57.5, 52
012P15, "Stokers Hill", -57, 52
012P16, "Barge Bay", -56.5, 52
013A01, "Chateau Pond", -56.5, 52.25
013A02, " ", -57, 52.25
013A03, " ", -57.5, 52.25
013A04, " ", -58, 52.25
013A05, " ", -58, 52.5
013A06, " ", -57.5, 52.5
013A07, " ", -57, 52.5
013A08, "St Lewis Inlet", -56.5, 52.5
013A09, "Port Hope Simpson", -56.5, 52.75
013A10, " ", -57, 52.75
013A11, " ", -57.5, 52.75
013A12, " ", -58, 52.75
013A13, " ", -58, 53
013A14, " ", -57.5, 53
013A15, "Jeffries Pond", -57, 53
013A16, "White Bear Arm", -56.5, 53
013B01, " ", -58.5, 52.25
013B02, " ", -59, 52.25
013B03, "Halfway Pond", -59.5, 52.25
013B04, "Matse River", -60, 52.25
013B05, " ", -60, 52.5
013B06, " ", -59.5, 52.5
013B07, " ", -59, 52.5
013B08, " ", -58.5, 52.5
013B09, " ", -58.5, 52.75
013B10, " ", -59, 52.75
013B11, " ", -59.5, 52.75
013B12, " ", -60, 52.75
013B13, " ", -60, 53
013B14, " ", -59.5, 53
013B15, " ", -59, 53
013B16, " ", -58.5, 53
013C01, "Lac Fourmont", -60.5, 52.25
013C02, " ", -61, 52.25
013C03, "Lac Guines", -61.5, 52.25
013C04, "Lac Gaffaret", -62, 52.25
013C05, "Lac Arvert", -62, 52.5
013C06, " ", -61.5, 52.5
013C07, "Minipi Lake", -61, 52.5
013C08, " ", -60.5, 52.5
013C09, "Little Drunken River", -60.5, 52.75
013C10, " ", -61, 52.75
013C11, " ", -61.5, 52.75
013C12, "Dominion Lake", -62, 52.75
013C13, " ", -62, 53
013C14, " ", -61.5, 53
013C15, "Lac Mercier", -61, 53
013C16, " ", -60.5, 53
013D01, " ", -62.5, 52.25
013D02, " ", -63, 52.25
013D03, "Senecal Lake", -63.5, 52.25
013D04, "Lac Lavoie", -64, 52.25
013D05, "Lac Marc", -64, 52.5
013D06, " ", -63.5, 52.5
013D07, " ", -63, 52.5
013D08, " ", -62.5, 52.5
013D09, " ", -62.5, 52.75
013D10, " ", -63, 52.75
013D11, " ", -63.5, 52.75
013D12, "Lac Alliez", -64, 52.75
013D13, "Lac Ghyvelde", -64, 53
013D14, " ", -63.5, 53
013D15, " ", -63, 53
013D16, " ", -62.5, 53
013E01, "Mouni Rapids", -62.5, 53.25
013E02, " ", -63, 53.25
013E03, " ", -63.5, 53.25
013E04, " ", -64, 53.25
013E05, "Blueberry Lake Strea", -64, 53.5
013E06, "Metchin River", -63.5, 53.5
013E07, "Wilson Lake", -63, 53.5
013E08, " ", -62.5, 53.5
013E09, " ", -62.5, 53.75
013E10, " ", -63, 53.75
013E11, " ", -63.5, 53.75
013E12, "Sona Lake", -64, 53.75
013E13, "Mating Lake", -64, 54
013E14, " ", -63.5, 54
013E15, "Disappointment Lake", -63, 54
013E16, "Hope Lake", -62.5, 54
013F01, "Traverspine River", -60.5, 53.25
013F02, "Mckenzie River", -61, 53.25
013F03, "Pinus River", -61.5, 53.25
013F04, " ", -62, 53.25
013F05, " ", -62, 53.5
013F06, " ", -61.5, 53.5
013F07, "Goose River", -61, 53.5
013F08, "Goose Bay", -60.5, 53.5
013F09, "North West River", -60.5, 53.75
013F10, "Cape Caribou River", -61, 53.75
013F11, " ", -61.5, 53.75
013F12, "Mountaineer Lakes", -62, 53.75
013F13, " ", -62, 54
013F14, "Mount Sawyer", -61.5, 54
013F15, "Mount Elizabeth", -61, 54
013F16, "Mokami Hill", -60.5, 54
013G01, " ", -58.5, 53.25
013G02, " ", -59, 53.25
013G03, " ", -59.5, 53.25
013G04, "Kenamu River", -60, 53.25
013G05, "Kenemich River", -60, 53.5
013G06, " ", -59.5, 53.5
013G07, " ", -59, 53.5
013G08, " ", -58.5, 53.5
013G09, " ", -58.5, 53.75
013G10, "Etagaulet River", -59, 53.75
013G11, "Eskimo Paps", -59.5, 53.75
013G12, "Epinette Point", -60, 53.75
013G13, "Mulligan Bay", -60, 54
013G14, "Etagaulet Point", -59.5, 54
013G15, "Neveisik Island", -59, 54
013G16, "Main Brook Pond", -58.5, 54
013H01, " ", -56.5, 53.25
013H02, " ", -57, 53.25
013H03, " ", -57.5, 53.25
013H04, " ", -58, 53.25
013H05, " ", -58, 53.5
013H06, "Paradise River", -57.5, 53.5
013H07, " ", -57, 53.5
013H08, "Porcupine Bay", -56.5, 53.5
013H09, "Sand Hill Cove", -56.5, 53.75
013H10, "Hare Harbour", -57, 53.75
013H11, Cartwright, -57.5, 53.75
013H12, "Barron Lake", -58, 53.75
013H13, "North River", -58, 54
013H14, "Trunmore Bay", -57.5, 54
013H15, "Packs Harbour", -57, 54
013H16, "Grady Harbour", -56.5, 54
013I03, "West Bay", -57.5, 54.25
013I04, "Tinker Harbour", -58, 54.25
013I05, "Pottles Bay", -58, 54.5
013I06, "Indian Harbour", -57.5, 54.5
013I07, "White Bear Island", -57, 54.5
013I11, "Holton Harbour", -57.5, 54.75
013I12, "Byron Bay", -58, 54.75
013I13, "Cape Harrison", -58, 55
013J01, Rigolet, -58.5, 54.25
013J02, "Burnt Head", -59, 54.25
013J03, "Double Mer", -59.5, 54.25
013J04, " ", -60, 54.25
013J05, " ", -60, 54.5
013J06, " ", -59.5, 54.5
013J07, " ", -59, 54.5
013J08, "Ticoralak Island", -58.5, 54.5
013J09, "Lake Michael", -58.5, 54.75
013J10, "Mount Benedict", -59, 54.75
013J11, "Micmac River", -59.5, 54.75
013J12, " ", -60, 54.75
013J13, "Post Hill", -60, 55
013J14, "Monkey Hill", -59.5, 55
013J15, "Stag Bay", -59, 55
013J16, "Webeck Harbour", -58.5, 55
013K01, "Mulligan River", -60.5, 54.25
013K02, "Nipishish Lake", -61, 54.25
013K03, "Santa Claus Mountain", -61.5, 54.25
013K04, "Dorothy Lake", -62, 54.25
013K05, "Wuchusk Lake", -62, 54.5
013K06, "Pocket Knife Lake", -61.5, 54.5
013K07, " ", -61, 54.5
013K08, " ", -60.5, 54.5
013K09, "West Micmac Lake", -60.5, 54.75
013K10, "Kaipokok River", -61, 54.75
013K11, "Snegamook Lake", -61.5, 54.75
013K12, " ", -62, 54.75
013K13, " ", -62, 55
013K14, "Mistinippi Lake", -61.5, 55
013K15, " ", -61, 55
013K16, " ", -60.5, 55
013L01, " ", -62.5, 54.25
013L02, "Isabella Falls", -63, 54.25
013L03, "Fremont Lake", -63.5, 54.25
013L04, "Agnes Lake", -64, 54.25
013L05, "Fraser Lake", -64, 54.5
013L06, "Proof Lake", -63.5, 54.5
013L07, "Bibikwasin Lake", -63, 54.5
013L08, " ", -62.5, 54.5
013L09, "Shipiskan Lake", -62.5, 54.75
013L10, " ", -63, 54.75
013L11, "Fazy Lake", -63.5, 54.75
013L12, "Spot Lake", -64, 54.75
013L13, "Ethyl Lake", -64, 55
013L14, "Main Lake", -63.5, 55
013L15, " ", -63, 55
013L16, " ", -62.5, 55
013M01, " ", -62.5, 55.25
013M02, " ", -63, 55.25
013M03, " ", -63.5, 55.25
013M04, "Lac Ramusio", -64, 55.25
013M05, "Lac Chapiteau", -64, 55.5
013M06, " ", -63.5, 55.5
013M07, " ", -63, 55.5
013M08, " ", -62.5, 55.5
013M09, " ", -62.5, 55.75
013M10, " ", -63, 55.75
013M11, " ", -63.5, 55.75
013M12, "Lac Machault", -64, 55.75
013M13, " ", -64, 56
013M14, "Mistastin Lake", -63.5, 56
013M15, " ", -63, 56
013M16, " ", -62.5, 56
013N01, "Kanairiktok Bay", -60.5, 55.25
013N02, "Ugjoktok Bay", -61, 55.25
013N03, "Shapio Lake", -61.5, 55.25
013N04, "Harp Lake", -62, 55.25
013N05, " ", -62, 55.5
013N06, " ", -61.5, 55.5
013N07, " ", -61, 55.5
013N08, Hopedale, -60.5, 55.5
013N09, "Napatalik Island", -60.5, 55.75
013N10, "Big Bay", -61, 55.75
013N11, " ", -61.5, 55.75
013N12, " ", -62, 55.75
013N13, " ", -62, 56
013N14, "Sango Bay", -61.5, 56
013N15, "Davis Inlet", -61, 56
013N16, "Nunaksaluk Island", -60.5, 56
013O01, "Part Of 013J16E", -58.5, 55.25
013O02, "Ironbound Islands", -59, 55.25
013O03, Makkovik, -59.5, 55.25
013O04, "Bay Of Islands", -60, 55.25
013O05, "Double Islands", -60, 55.5
013O06, "Turnavik Islands", -59.5, 55.5
013O12, "Part Of 013O05W", -60, 55.75
014C01, "Part Of 014C02", -60.5, 56.25
014C02, "Spracklins Island", -61, 56.25
014C03, "Akpiktok Island", -61.5, 56.25
014C04, "Garland Bight", -62, 56.25
014C05, Kamarsuk, -62, 56.5
014C06, "Ford Harbour", -61.5, 56.5
014C07, "Satoaluk Island", -61, 56.5
014C10, "Chronicle Island", -61, 56.75
014C11, "Dog Island", -61.5, 56.75
014C12, Nain, -62, 56.75
014C13, "Port Manvers Run", -62, 57
014C14, "David Island", -61.5, 57
014C15, "Savage Islands", -61, 57
014D01, "Makhavinekh Mountain", -62.5, 56.25
014D02, " ", -63, 56.25
014D03, "Long Pond", -63.5, 56.25
014D04, " ", -64, 56.25
014D05, " ", -64, 56.5
014D06, " ", -63.5, 56.5
014D07, " ", -63, 56.5
014D08, "Reid Brook", -62.5, 56.5
014D09, "Tikkoatokak Bay", -62.5, 56.75
014D10, " ", -63, 56.75
014D11, " ", -63.5, 56.75
014D12, " ", -64, 56.75
014D13, " ", -64, 57
014D14, " ", -63.5, 57
014D15, " ", -63, 57
014D16, "Kingurutik Lake", -62.5, 57
014E01, "Alliger Lake", -62.5, 57.25
014E02, "Staghorn Lake", -63, 57.25
014E03, "Siamarni Forks", -63.5, 57.25
014E04, " ", -64, 57.25
014E05, " ", -64, 57.5
014E06, " ", -63.5, 57.5
014E07, "Umiakovik Lake", -63, 57.5
014E08, "Okak Bay", -62.5, 57.5
014E09, "Wheeler Mountain", -62.5, 57.75
014E10, " ", -63, 57.75
014E11, " ", -63.5, 57.75
014E12, "Lac Courdon", -64, 57.75
014E13, "Lac Lomier", -64, 58
014E14, " ", -63.5, 58
014E15, " ", -63, 58
014E16, "Finger Hill", -62.5, 58
014F03, "Cape Kiglapait", -61.28, 57.25
014F03, "Cape Kiglapait", -61.5, 57.25
014F04, "Avakutak Bay", -62, 57.25
014F05, Nutak, -62, 57.5
014F05, Nutak, -61.5, 57.5
014F06, "Kelpy Island", -61.5, 57.5
014F06, "Kelpy Island", -61.5, 57.5
014F11, "Saddle Island", -61.5, 57.57
014F11, "Saddle Island", -61.5, 57.75
014F12, "Okak Harbour", -62, 57.75
014F13, "Mugford Harbour", -62, 58
014L01, "Jensen Inlet", -62.5, 58.25
014L02, Hebron, -63, 58.25
014L03, " ", -63.5, 58.25
014L04, " ", -64, 58.25
014L05, " ", -64, 58.5
014L06, "Saglek Fiord", -63.5, 58.5
014L07, "Cape Uivak-Fish Is", -63, 58.5
014L08, "Part Of 014L07", -62.5, 58.5
014L10, "Saglek Bight", -63, 58.75
014L11, "Jens Haven Island", -63.5, 58.75
014L12, " ", -64, 58.75
014L13, "Cirque Mountain", -64, 59
014L14, "Ramah Bay-Reichel He", -63.5, 59
014L15, "Part Of 014L14", -63, 59
014M03, "Gulch Cape", -63.5, 59.25
014M04, "Nachvak Fiord", -64, 59.25
014M05, "Seven Islands Bay", -64, 59.5
014M06, "C White Handerchief", -63.5, 59.5
014M12, "Iron Strand", -64, 59.75
014M13, "Part Of 024P16", -64, 60
015L12, " ", -64, 62.75
015L13, " ", -64, 63
015M04, " ", -64, 63.25
015M04, " ", -64, 63
015M05, " ", -64, 63.5
015M12, " ", -64, 63.75
015M13, " ", -64, 64
016D13, "Cape Mercy", -64, 65
016D14, "Leopold Island", -63.5, 65
016E03, " ", -63.5, 65.25
016E04, "Aktijartukan Fiord", -64, 65.25
016E05, "Tessialuk Lake", -64, 65.5
016E06, "Ilikok Island", -63.5, 65.5
016E07, "Part Of 016E06", -63, 65.5
016E09, "Angijak Island", -62.5, 65.75
